13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STREAM_STATUS of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STREAM_STATUS of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STREAM_STATUS of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STREAM_STATUS of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STREAM_STATUS of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STREAM_STATUS of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STREAM_STATUS of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STREAM_STATUS of type Gst.MessageType>
13:39:35 | DEBUG | run=20260805-083930-232081 | hailo_apps.python.core.gstreamer.gstreamer_app | Bus message received: <flags GST_MESSAGE_STATE_CHANGED of type Gst.MessageType>
